D,L,P,G,X,DH,CHF,T
0.00776,2.08,2432,653,0.815,426,1176,125.59
0.00776,2.08,2324,664,0.804,411,1178,126.53
0.00776,2.08,2069,704,0.76,375,1185,128.54
0.00776,2.08,1844,761,0.704,338,1192,131.05
0.00776,2.08,1589,844,0.636,293,1199,133.91
0.00776,2.08,1648,844,0.642,284,1197,137.87
0.00776,2.08,1461,909,0.594,261,1203,137.21
0.00776,2.08,1393,952,0.568,247,1206,138.15
0.00776,2.08,1285,1000,0.541,229,1209,138.47
0.00776,2.08,1245,1047,0.521,209,1210,141.64
0.00776,2.08,1167,1097,0.498,195,1214,141.88
0.00776,2.08,3423,457,0.902,627,943,98.82
0.00776,2.08,3589,457,0.906,632,943,100.7
0.00776,2.08,3933,463,0.887,646,937,103.46
0.00776,2.08,3256,482,0.859,587,948,105.12
0.00776,2.08,2864,480,0.874,551,953,105.7
0.00776,2.08,2569,482,0.88,521,959,106.33
0.00776,2.08,2667,484,0.88,515,957,109.96
0.00776,2.08,2167,484,0.885,463,956,110.33
0.00776,2.08,1687,531,0.816,385,967,115.32
0.00776,2.08,1373,592,0.737,322,975,119.83
0.00776,2.08,1294,615,0.707,307,976,120.49
0.00776,2.08,1236,634,0.686,293,976,121.59
0.00776,2.08,1079,691,0.633,258,983,123.49
0.00776,2.08,5776,702,0.625,511,983,162.71
0.00776,2.08,990,744,0.589,232,984,125.7
0.00776,2.08,941,761,0.58,214,984,127.67
0.00776,2.08,804,838,0.518,177,966,129.54
0.00776,2.08,775,886,0.488,170,967,129.62
0.00776,2.08,696,1080,0.387,160,967,127.49
0.00776,2.08,667,1089,0.37,188,968,119.16
0.00776,2.08,3521,476,0.877,642,966,97.08
0.00776,2.08,3158,474,0.895,606,972,98.68
0.00776,2.08,2864,476,0.902,579,980,99.06
0.00776,2.08,2707,482,0.892,565,984,98.98
0.00776,2.08,2560,489,0.886,547,990,99.95
0.00776,2.08,2207,495,0.883,507,995,100.92
0.00776,2.08,1952,512,0.855,475,1000,101.74
0.00776,2.08,2393,497,0.88,511,991,104.57
0.00776,2.08,2530,486,0.903,526,990,104.24
0.00776,2.08,2354,495,0.874,490,974,108.61
0.00776,2.08,2138,516,0.839,464,980,109.34
0.00776,2.08,1952,525,0.829,438,983,110.51
0.00776,2.08,1834,531,0.824,423,987,110.72
0.00776,2.08,1697,544,0.809,396,990,113.03
0.00776,2.08,1608,560,0.784,385,992,112.85
0.00776,2.08,1520,586,0.75,365,996,114.72
0.00776,2.08,1373,611,0.722,335,998,116.76
0.00776,2.08,1314,640,0.692,314,1000,119.58
0.00776,2.08,1059,751,0.586,259,1004,122.4
0.00776,2.08,990,782,0.561,242,1001,123.35
0.00776,2.08,3923,332,0.921,681,701,94.97
0.00776,2.08,3668,334,0.923,665,707,94.29
0.00776,2.08,3128,334,0.94,620,715,94.75
0.00776,2.08,2883,343,0.919,596,721,95.42
0.00776,2.08,2707,340,0.933,585,724,94.23
0.00776,2.08,2452,347,0.919,552,727,96.24
0.00776,2.08,2010,349,0.936,498,737,97.87
0.00776,2.08,1873,349,0.941,481,739,98.09
0.00776,2.08,1726,355,0.93,457,742,99.46
0.00776,2.08,1559,357,0.933,431,745,100.37
0.00776,2.08,1324,372,0.871,388,729,102.44
0.00776,2.08,1628,362,0.897,417,725,105.91
0.00776,2.08,1451,385,0.883,303,727,127.02
0.00776,2.08,1118,402,0.818,323,733,109.79
0.00776,2.08,1344,376,0.874,365,730,108.62
0.00776,2.08,1275,383,0.863,343,731,111.27
0.00776,2.08,1118,406,0.809,322,733,110.02
0.00776,2.08,981,431,0.768,283,736,113.27
0.00776,2.08,912,450,0.735,266,737,114.04
0.00776,2.08,873,461,0.72,252,738,115.42
0.00776,2.08,843,482,0.698,231,743,118.86
0.00776,2.08,834,493,0.683,223,743,120.28
0.00776,2.08,785,531,0.637,196,743,124.05
0.00776,2.08,706,554,0.615,171,744,125.49
0.00776,2.08,2462,355,0.92,534,738,100.76
0.00776,2.08,2334,355,0.926,522,741,100.53
0.00776,2.08,2167,357,0.925,504,744,100.61
0.00776,2.08,1942,361,0.922,475,748,101.46
0.00776,2.08,1746,366,0.924,437,753,104.81
0.00776,2.08,1500,370,0.915,412,756,102.93
0.00776,2.08,1255,395,0.858,368,760,104.59
0.00776,2.08,1118,406,0.818,333,744,107.42
0.00776,2.08,1010,423,0.787,307,746,108.91
0.00776,2.08,2824,279,0.925,602,592,92.73
0.00776,2.08,2579,277,0.945,573,595,94.2
0.00776,2.08,2265,277,0.954,542,599,94.07
0.00776,2.08,1952,277,0.966,501,602,95.57
0.00776,2.08,1559,279,0.956,450,599,95.86
0.00776,2.08,1402,281,0.963,413,602,99.32
0.00776,2.08,1187,290,0.937,372,604,100.99
0.00776,2.08,1079,288,0.958,335,605,105.3
0.00776,2.08,892,306,0.901,298,607,105.49
0.00776,2.08,814,326,0.852,242,603,114.76
0.00776,2.08,804,321,0.865,246,603,113.28
0.00776,2.08,745,324,0.86,230,604,113.83
0.00776,2.08,667,345,0.81,203,605,115.62
0.00776,2.08,628,361,0.756,196,595,114.82
0.00776,2.08,520,389,0.711,148,596,118.69
0.00776,1.04,3678,222,0.858,755,930,73
0.00776,1.04,3168,220,0.889,714,942,73.14
0.00776,1.04,2648,220,0.905,668,952,73.12
0.00776,1.04,2285,220,0.919,623,957,75.27
0.00776,1.04,2001,233,0.864,591,966,75.48
0.00776,1.04,1746,239,0.852,549,973,78.16
0.00776,1.04,1461,241,0.858,505,979,79.48
0.00776,1.04,1344,247,0.838,501,989,76.28
0.00776,1.04,1049,256,0.818,431,989,81.18
0.00776,1.04,824,268,0.796,343,984,91.34
0.00776,1.04,1040,273,0.776,384,989,91.97
0.00776,1.04,892,262,0.826,352,992,92.67
0.00776,1.04,3315,325,0.855,673,1324,85.81
0.00776,1.04,3148,325,0.865,654,1330,87.06
0.00776,1.04,2903,325,0.87,640,1338,85.36
0.00776,1.04,2246,332,0.875,562,1358,88.83
0.00776,1.04,1844,345,0.858,497,1372,93.45
0.00776,1.04,1579,360,0.829,452,1381,96.04
0.00776,1.04,1393,365,0.82,431,1387,94.72
0.00776,1.04,1294,386,0.773,403,1387,97.76
0.00776,1.04,1147,391,0.765,384,1391,96.52
0.00776,1.04,1079,403,0.744,363,1392,98.66
0.00776,1.04,1059,406,0.745,346,1393,101.83
0.00993,3.12,3933,274,0.922,618,480,110.11
0.00993,3.12,3589,277,0.924,562,479,117.3
0.00993,3.12,3207,274,0.944,535,482,116.48
0.00993,3.12,2805,279,0.943,478,485,121.72
0.00993,3.12,2481,280,0.941,423,480,127.45
0.00993,3.12,2265,280,0.967,369,483,134.95
0.00993,3.12,1971,282,0.971,321,484,138.58
0.00993,3.12,1677,283,0.984,275,488,140.87
0.00993,3.12,1227,256,0.998,449,495,84.26
0.00993,3.12,862,263,0.993,356,498,90.21
0.00993,3.12,745,276,0.939,324,495,91.54
0.00993,3.12,647,282,0.958,215,494,111.54
0.00993,3.12,588,291,0.887,287,495,90.6
0.00993,3.12,500,298,0.866,285,500,84.7
0.00993,3.12,471,296,0.857,302,498,78.35
0.00993,3.12,451,294,0.865,300,499,77.18
0.00993,3.12,3815,442,0.909,614,768,109.01
0.00993,3.12,3413,446,0.926,564,778,113.57
0.00993,3.12,3079,450,0.924,513,775,119.14
0.00993,3.12,2864,461,0.905,485,777,121.32
0.00993,3.12,2599,478,0.892,435,786,127.32
0.00993,3.12,2403,488,0.886,402,792,130.55
0.00993,3.12,2059,499,0.875,331,785,138.6
0.00993,3.12,2010,456,0.883,462,772,106.42
0.00993,3.12,1667,473,0.869,406,782,109.74
0.00993,3.12,1412,503,0.798,399,784,102.99
0.00993,3.12,1265,520,0.804,317,788,117.04
0.00993,3.12,981,595,0.696,271,792,116.1
0.00993,3.12,824,650,0.651,221,801,120.24
0.00993,3.12,804,672,0.627,217,802,120.13
0.00993,3.12,686,699,0.602,191,798,119.6
0.00993,3.12,647,711,0.6,177,804,120.51
0.00993,3.12,481,720,0.548,235,797,95.1
0.00993,3.12,3668,521,0.924,508,876,131.45
0.00993,3.12,3158,531,0.937,436,889,138.81
0.00993,3.12,2981,552,0.916,402,899,143.23
0.00993,3.12,2579,575,0.888,358,908,144.91
0.00993,3.12,2295,582,0.882,313,904,148.77
0.00993,3.12,1961,620,0.817,291,906,145.31
0.00993,3.12,2118,600,0.842,317,905,143.41
0.00993,3.12,1746,593,0.846,332,921,129.6
0.00993,3.12,1540,629,0.789,299,916,130.93
0.00993,3.12,1442,648,0.762,277,910,132.82
0.00993,3.12,1255,694,0.713,241,911,134.54
0.00993,3.12,1098,730,0.683,211,915,135.33
0.00993,3.12,1020,778,0.638,193,913,136.2
0.00993,3.12,1010,820,0.599,188,909,136.92
0.00993,3.12,941,862,0.572,173,912,137.29
0.00993,3.12,1942,158,0.934,442,278,109.29
0.00993,3.12,1697,159,0.938,410,280,109.72
0.00993,3.12,1569,153,0.992,387,281,111.13
0.00993,3.12,1236,163,0.929,352,284,107.65
0.00993,3.12,1147,164,0.932,297,281,117.13
0.00993,3.12,1079,162,0.942,295,281,114.76
0.00993,3.12,902,160,0.969,249,282,117.56
0.00993,3.12,824,160,0.973,220,281,120.47
0.00993,3.12,647,165,0.974,142,284,128.74
0.00993,3.12,517,163,0.988,138,287,120.83
0.00993,3.12,471,167,0.967,108,286,124.34
0.00993,3.12,372,164,0.999,83,290,121.55
0.00993,3.12,294,166,0.989,78,293,114.48
0.00993,2.08,1040,497,0.695,450,1094,76.25
0.00993,2.08,922,524,0.656,413,1089,79.61
0.00993,2.08,834,562,0.668,263,1090,110.84
0.00993,2.08,726,620,0.545,355,1093,83.07
0.00993,2.08,667,663,0.511,334,1102,84.54
0.00993,2.08,628,685,0.495,316,1099,86.36
0.00993,2.08,598,695,0.482,303,1084,87.47
0.00993,2.08,530,730,0.457,281,1080,87.91
0.00993,2.08,481,729,0.443,300,1075,79.63
0.00993,2.08,510,692,0.462,329,1075,74.98
0.00993,2.08,3687,393,0.934,648,1065,98.67
0.00993,2.08,3217,398,0.931,576,1059,106.97
0.00993,2.08,2873,405,0.921,541,1065,108.27
0.00993,2.08,2550,409,0.924,491,1067,113
0.00993,2.08,2520,412,0.923,479,1069,115.14
0.00993,2.08,2099,422,0.913,414,1072,120.14
0.00993,2.08,1863,430,0.897,375,1068,122.89
0.00993,2.08,1697,433,0.893,355,1070,122.71
0.00993,2.08,3864,291,0.922,519,732,132.29
0.00993,2.08,3570,295,0.91,474,726,137.67
0.00993,2.08,3374,295,0.925,447,731,140.38
0.00993,2.08,3128,287,0.969,401,729,146.4
0.00993,2.08,2795,290,0.947,348,714,151.95
0.00993,2.08,2540,289,0.974,309,723,155.43
0.00993,2.08,2363,294,0.958,289,724,155.97
0.00993,2.08,2059,296,0.959,250,726,157.44
0.00993,2.08,1775,296,0.979,208,735,159.35
0.00993,2.08,1893,299,0.976,217,739,160.61
0.00993,2.08,1481,315,0.944,165,753,160.2
0.00993,2.08,1657,310,0.949,191,747,159.77
0.00993,2.08,1442,323,0.912,161,748,159.82
0.00993,2.08,1363,295,0.937,297,752,125.36
0.00993,2.08,1275,304,0.908,289,755,124.02
0.00993,2.08,1040,321,0.864,247,759,124.4
0.00993,2.08,1196,314,0.888,277,764,123.8
0.00993,2.08,932,337,0.821,227,760,124.19
0.00993,2.08,853,349,0.8,203,763,125.96
0.00993,2.08,765,368,0.76,183,765,126.02
0.00993,2.08,716,382,0.735,161,764,128.43
0.00993,2.08,637,402,0.732,144,798,127.64
0.00993,2.08,549,448,0.63,123,772,126.69
0.00993,2.08,471,504,0.552,115,771,122.69
0.00993,2.08,412,548,0.505,112,776,118.42
0.00993,2.08,373,560,0.482,121,770,112.68
0.00993,2.08,333,555,0.471,165,781,98.21
0.00993,2.08,304,530,0.473,204,776,85.75
0.00993,2.08,3795,213,0.901,547,535,124.5
0.00993,2.08,3403,216,0.907,503,541,127.78
0.00993,2.08,2981,217,0.898,465,538,128.46
0.00993,2.08,2628,215,0.921,414,538,132.91
0.00993,2.08,2432,215,0.932,373,537,138.04
0.00993,2.08,2059,215,0.946,324,540,140.23
0.00993,2.08,1706,212,0.976,276,544,141.52
0.00993,2.08,1344,211,0.994,211,545,144.82
0.00993,2.08,1089,216,0.978,159,545,147.09
0.00993,2.08,1010,215,0.99,145,548,146.96
0.00993,2.08,873,217,0.984,130,552,144.06
0.00993,2.08,785,215,0.936,301,569,99.23
0.00993,2.08,716,219,0.923,282,571,99.85
0.00993,2.08,667,224,0.9,272,571,99.28
0.00993,2.08,588,225,0.905,246,573,100.34
0.00993,2.08,569,225,0.912,245,578,99.27
0.00993,2.08,490,231,0.883,230,577,97
0.00993,2.08,431,239,0.855,203,576,98.55
0.00993,2.08,363,265,0.776,173,581,99.39
0.00993,2.08,333,291,0.699,166,580,97.97
0.00993,2.08,275,307,0.665,163,589,92.06
0.00993,2.08,235,321,0.626,164,587,86.56
0.00993,2.08,3668,435,0.915,629,1152,102.85
0.00993,2.08,3393,438,0.919,595,1157,105.85
0.00993,2.08,3030,445,0.914,545,1159,110.58
0.00993,2.08,2716,457,0.898,499,1163,114.83
0.00993,2.08,2383,465,0.89,456,1166,117.35
0.00993,2.08,2118,470,0.886,402,1158,123.47
0.00993,2.08,1883,490,0.855,364,1163,126.05
0.00993,2.08,1765,504,0.838,339,1169,128.52
0.00993,2.08,1559,545,0.774,301,1171,131.08
0.00993,2.08,1706,533,0.794,316,1171,132.15
0.00993,2.08,1383,562,0.762,257,1173,135.46
0.00993,2.08,1500,540,0.803,264,1177,137.82
0.00993,2.08,1314,588,0.733,228,1172,139.77
0.00993,2.08,1226,614,0.703,210,1174,140.68
0.00993,2.08,1187,631,0.687,199,1177,141.74
0.00993,2.08,1157,650,0.667,195,1181,141.48
0.00993,2.08,1108,663,0.654,193,1185,139.96
0.00993,2.08,1089,673,0.643,187,1183,140.57
0.00993,2.08,1049,679,0.635,184,1180,139.57
0.00993,2.08,1000,688,0.625,176,1177,139.28
0.00993,2.08,971,698,0.614,175,1177,138.21
0.00993,2.08,892,696,0.617,169,1181,135.88
0.00993,2.08,843,704,0.613,163,1187,134.84
0.00993,2.08,755,736,0.582,160,1190,130.87
0.00993,2.08,686,755,0.559,162,1187,126.43
0.00993,2.08,647,808,0.511,171,1187,121.92
0.00993,2.08,608,857,0.469,178,1180,117.77
0.00993,1.04,3697,190,0.851,611,947,107.64
0.00993,1.04,2893,188,0.896,493,946,120.04
0.00993,1.04,3070,192,0.886,493,952,123.68
0.00993,1.04,2726,201,0.84,457,952,124.96
0.00993,1.04,2412,200,0.859,407,952,129.59
0.00993,1.04,2265,203,0.861,392,966,129.55
0.00993,1.04,2079,203,0.872,365,971,131.15
0.00993,1.04,1863,207,0.865,326,974,134.41
0.00993,1.04,1697,204,0.893,293,978,137.27
0.00993,1.04,1589,206,0.897,271,986,139.07
0.00993,1.04,1481,206,0.906,246,988,141.39
0.00993,1.04,1344,204,0.925,228,996,140.86
0.00993,1.04,1245,206,0.917,202,991,143.28
0.00993,1.04,1167,206,0.92,190,993,143.05
0.00993,1.04,1128,259,0.72,182,1000,143.34
0.00993,1.04,3070,202,0.868,541,1009,112.34
0.00993,1.04,2766,208,0.838,514,1010,112.37
0.00993,1.04,1108,218,0.867,257,1035,124.95
0.00993,1.04,1030,220,0.875,231,1044,127.72
0.00993,1.04,941,220,0.894,202,1056,130.49
0.00993,1.04,2462,209,0.835,480,1007,113.56
0.00993,1.04,2118,209,0.851,439,1016,114.74
0.00993,1.04,1824,213,0.839,396,1015,116.81
0.00993,1.04,1667,213,0.861,367,1029,118.96
0.00993,1.04,1471,213,0.869,327,1027,122.05
0.00993,1.04,1285,217,0.85,303,1025,121.09
0.00993,1.04,3413,201,0.868,614,1027,101.72
0.00993,1.04,3020,202,0.866,588,1032,100.17
0.00993,1.04,2628,203,0.863,561,1036,98.17
0.00993,1.04,2236,207,0.859,512,1044,100.47
0.00993,1.04,1912,209,0.857,473,1047,101.1
0.00993,1.04,1618,214,0.841,434,1051,101.56
0.00993,1.04,1353,212,0.865,401,1062,100.41
0.00993,1.04,1285,216,0.856,379,1066,103.12
0.00993,1.04,1147,218,0.858,351,1072,104.35
0.00996,0.96,2010,252,0.865,681,1510,54.21
0.00996,0.96,814,318,0.657,521,1535,48.32
0.00996,0.96,912,183,0.815,575,1057,40.41
0.00996,0.96,2981,179,0.88,855,1130,35.57
0.00996,0.96,2491,181,0.901,807,1157,36.23
0.00996,0.96,2393,182,0.884,798,1148,36.05
0.00996,0.96,2275,183,0.877,786,1150,36.01
0.00996,0.96,2138,177,0.87,758,1098,39.2
0.00996,0.96,2050,175,0.883,756,1097,37.34
0.00996,0.96,1942,175,0.875,742,1089,37.72
0.00996,0.96,1853,177,0.86,728,1083,38.53
0.00996,0.96,1481,175,0.856,674,1060,39.76
0.00996,0.96,1353,173,0.857,659,1048,38.83
0.00996,0.96,1255,174,0.859,639,1055,39.94
0.00996,0.96,1187,173,0.865,628,1055,39.9
0.00996,0.96,1079,174,0.863,610,1055,39.7
0.00996,0.96,1010,183,0.851,590,1090,41.44
0.00996,0.96,1000,183,0.842,583,1082,42.66
0.00996,0.96,961,181,0.84,585,1069,40.37
0.00996,0.96,912,181,0.819,574,1051,40.65
0.00996,0.96,912,183,0.815,575,1057,40.41
0.00996,0.96,873,183,0.817,576,1063,38.23
0.00996,0.96,804,203,0.749,540,1090,43.24
0.00996,0.96,628,194,0.76,576,1082,24.22
0.00996,0.96,628,201,0.757,506,1083,40.97
0.00996,0.96,520,203,0.739,478,1071,40.12
0.00996,0.96,2893,259,0.774,851,1511,34.68
0.00996,0.96,2766,265,0.779,823,1539,38.65
0.00996,0.96,2569,269,0.785,797,1558,40.45
0.00996,0.96,2422,270,0.777,784,1555,40.1
0.00996,0.96,2285,277,0.754,766,1555,41.05
0.00996,0.96,2118,278,0.758,745,1562,41.79
0.00996,0.96,1981,278,0.755,727,1552,42.4
0.00996,0.96,1746,279,0.751,693,1542,43.73
0.00996,0.96,1687,281,0.747,684,1543,44.08
0.00996,0.96,1579,282,0.741,662,1535,45.91
0.00996,0.96,1383,290,0.715,631,1528,46.62
0.00996,0.96,1216,292,0.72,605,1536,46.56
0.00996,0.96,1049,302,0.685,569,1524,48.21
0.00996,0.96,1000,299,0.701,558,1527,48.64
0.00996,0.96,932,308,0.678,545,1532,48.56
0.00996,0.96,814,318,0.657,517,1532,49.28
0.00996,0.96,677,325,0.643,485,1532,49.1
0.00996,0.96,598,341,0.607,465,1532,48.8
0.00996,0.96,549,351,0.599,433,1537,53.03
0.00996,0.96,510,351,0.596,419,1523,53.48
0.00996,0.96,471,363,0.574,408,1528,53.03
0.00996,0.96,2903,673,0.6,732,3164,63.39
0.00996,0.96,2716,684,0.628,649,3180,79.18
0.00996,0.96,2511,678,0.597,623,3025,80.72
0.00996,0.96,2275,683,0.594,590,3002,82.89
0.00996,0.96,2108,696,0.584,569,3005,83.6
0.00996,0.96,1853,715,0.564,540,2994,83.47
0.00996,0.96,1638,717,0.561,511,2962,83.88
0.00996,0.96,1500,722,0.563,493,2974,83.67
0.00996,0.96,1549,776,0.527,538,3137,74.57
0.00996,0.96,1402,833,0.493,492,3144,80.52
0.00996,0.96,1255,908,0.467,418,3157,92.72
0.00996,0.96,1040,976,0.438,371,3164,95.06
0.00996,0.96,912,1012,0.427,334,3149,97.93
0.00996,0.96,1030,1036,0.424,380,3307,92.48
0.00996,0.96,883,1059,0.402,329,3147,97.69
0.00996,0.96,824,1060,0.408,312,3147,98.7
0.00996,0.96,3020,398,0.74,746,2138,62.49
0.00996,0.96,2775,381,0.768,742,2111,58.25
0.00996,0.96,2609,389,0.735,726,2086,58.37
0.00996,0.96,2491,385,0.726,718,2051,57.55
0.00996,0.96,2010,400,0.698,666,2059,57.8
0.00996,0.96,1952,397,0.696,661,2036,57.39
0.00996,0.96,1471,404,0.661,606,1986,55.7
0.00996,0.96,1461,403,0.662,607,1986,55.11
0.00996,0.96,1275,407,0.655,572,1966,56.74
0.00996,0.96,1177,418,0.626,555,1951,56.96
0.00996,0.96,1059,422,0.629,526,1955,58.93
0.00996,0.96,883,443,0.6,486,1958,60.26
0.00996,0.96,736,470,0.555,456,1948,59.54
0.00996,0.96,618,493,0.529,421,1948,60.65
0.00996,0.96,569,499,0.521,401,1928,62.1
0.00996,0.96,481,522,0.502,366,1931,63.88
0.00996,0.96,441,557,0.472,349,1951,64.64
0.00996,0.96,373,584,0.449,313,1931,67.03
0.00996,0.96,2873,354,0.734,752,1908,57.97
0.00996,0.96,2785,359,0.736,740,1931,58.94
0.00996,0.96,2422,364,0.724,703,1928,59.5
0.00996,0.96,2324,380,0.692,703,1958,57.11
0.00996,0.96,451,511,0.496,357,1868,63.57
0.00996,0.96,1471,393,0.675,598,1948,57.61
0.00996,0.96,1275,404,0.65,559,1931,59.85
0.00996,0.96,1000,426,0.602,509,1901,60.36
0.00996,0.96,912,419,0.616,497,1895,59.07
0.00996,0.96,726,452,0.563,453,1890,59.68
0.00996,0.96,549,482,0.525,411,1890,58.29
0.00996,0.96,382,537,0.478,320,1868,66.23
0.00996,0.96,275,580,0.447,265,1860,67.75
0.00996,0.96,2824,1430,0.346,494,4155,118.34
0.00996,0.96,2922,1371,0.359,515,4131,115.45
0.00996,0.96,2726,1394,0.35,502,4114,114.34
0.00996,0.96,2805,1678,0.277,483,4284,120.54
0.00996,0.96,2618,1742,0.264,459,4253,122.1
0.00996,0.96,2432,1864,0.256,424,4335,126.06
0.00996,0.96,2363,1949,0.242,398,4277,130.53
0.00996,0.96,2256,1974,0.242,385,4277,130.98
0.00996,0.96,2883,1579,0.302,485,4216,121.72
0.00996,0.96,2442,1712,0.275,442,4216,122.06
0.00996,0.96,3119,1271,0.393,521,4029,118.05
0.00996,0.96,2971,1283,0.382,522,4019,114.81
0.00996,0.96,2569,1335,0.373,470,3996,118.39
0.00996,0.96,2520,1355,0.366,456,3963,120.57
0.00996,0.96,2373,1367,0.371,431,3963,123.01
0.00996,0.96,2295,1406,0.359,421,3963,123.47
0.00996,0.96,2275,1444,0.346,412,3953,125.1
0.00996,0.96,2099,1464,0.347,388,3943,126.27
0.00996,0.96,2079,1470,0.352,372,3943,129.51
0.00996,0.96,2040,1511,0.338,369,3943,129.18
0.00996,0.96,2010,1522,0.334,369,3943,128.38
0.00996,0.96,1942,1541,0.33,362,3943,128.17
0.00996,0.96,1775,1538,0.343,338,3963,129.05
0.00996,0.96,1677,1573,0.336,325,3963,129.15
0.00996,0.96,1520,1677,0.313,303,3963,129.33
0.00996,0.96,3070,1289,0.406,474,4013,128.15
0.00996,0.96,3089,1264,0.4,499,3979,122.64
0.00996,0.96,2785,1294,0.389,478,3966,121.29
0.00996,0.96,2540,1325,0.377,458,3949,120.56
0.00996,0.96,2471,1344,0.368,453,3943,120.14
0.00996,0.96,1952,1419,0.366,382,3953,123.74
0.00996,0.96,1765,1457,0.355,354,3904,124.99
0.00996,0.96,1667,1480,0.353,338,3904,125.79
0.00996,0.96,1863,1469,0.359,352,3943,128.3
0.00996,0.96,2314,1357,0.375,428,3953,122.29
0.00996,0.96,3070,905,0.543,543,3553,111.86
0.00996,0.96,2785,916,0.531,531,3546,108.75
0.00996,0.96,2658,932,0.516,521,3536,108.34
0.00996,0.96,2452,957,0.502,500,3536,108.59
0.00996,0.96,2324,991,0.475,489,3523,108.11
0.00996,0.96,2226,1017,0.455,473,3483,109.47
0.00996,0.96,1991,1021,0.469,441,3510,110.87
0.00996,0.96,1785,1095,0.435,411,3526,112.13
0.00996,0.96,1599,1123,0.423,384,3497,112.8
0.00996,0.96,1471,1170,0.403,365,3493,113.08
0.00996,0.96,1344,1195,0.402,344,3513,113.59
0.00996,0.96,1265,1226,0.392,331,3513,113.73
0.00996,0.96,1108,1284,0.368,313,3493,111.74
0.00996,0.96,1010,1308,0.364,289,3463,113.16
0.00996,0.96,2942,883,0.549,538,3493,110.42
0.00996,0.96,2766,905,0.53,524,3487,110
0.00996,0.96,2452,960,0.482,510,3480,106.22
0.00996,0.96,2363,936,0.507,495,3480,107.64
0.00996,0.96,2246,964,0.489,481,3480,108.07
0.00996,0.96,2001,1021,0.458,453,3487,108.31
0.00996,0.96,1746,1124,0.409,414,3490,110.26
0.00996,0.96,1638,1109,0.422,394,3473,111.67
0.00996,0.96,1432,1153,0.401,372,3457,110.09
0.00996,0.96,1285,1198,0.396,332,3460,114.25
0.00996,0.96,1118,1245,0.385,305,3467,114.04
0.00996,0.96,1000,1275,0.379,286,3467,113.42
0.00996,0.96,2942,2388,0.181,406,4529,141.5
0.00996,0.96,2785,2372,0.19,392,4529,141.48
0.00996,0.96,2697,2375,0.194,382,4529,141.92
0.00996,0.96,2422,2410,0.196,363,4532,140.14
0.00996,0.96,3089,2331,0.184,415,4496,142.36
0.00999,0.6,2991,220,0.751,839,2002,39.61
0.00999,0.6,2305,225,0.737,776,2009,39.16
0.00999,0.6,2599,221,0.75,812,2009,37.54
0.00999,0.6,2040,228,0.725,749,2006,38.75
0.00999,0.6,1775,228,0.726,717,1998,38.86
0.00999,0.6,1775,235,0.693,717,1998,38.86
0.00999,0.6,1549,237,0.695,679,1998,40.85
0.00999,0.6,1344,239,0.696,653,2010,39.94
0.00999,0.6,1294,245,0.674,643,2010,40.47
0.00999,0.6,1265,252,0.638,637,1989,40.81
0.00999,0.6,1138,254,0.633,619,1987,40.05
0.00999,0.6,1030,258,0.624,593,1982,41.62
0.00999,0.6,941,251,0.652,575,1979,41.81
0.00999,0.6,2893,220,0.787,817,2048,42.83
0.00999,0.6,2697,226,0.744,809,2035,40.48
0.00999,0.6,2550,228,0.731,798,2030,39.77
0.00999,0.6,2648,224,0.755,800,2031,41.53
0.00999,0.6,1893,231,0.728,721,2023,41.36
0.00999,0.6,1795,232,0.719,711,2013,40.89
0.00999,0.6,1677,232,0.722,697,2013,40.65
0.00999,0.6,1461,233,0.721,669,2013,40.27
0.00999,0.6,1294,235,0.714,645,2007,39.99
0.00999,0.6,1196,237,0.712,621,2007,41.93
0.00999,0.6,1138,242,0.684,613,1991,41.48
0.00999,0.6,1059,248,0.662,602,1991,40.75
0.00999,0.6,932,257,0.635,576,1991,41.14
0.00999,0.6,736,256,0.65,532,1991,41.36
0.00999,0.6,637,292,0.548,500,1991,42.99
0.00999,0.6,588,285,0.569,490,1991,42.13
0.00999,0.6,520,332,0.462,469,1991,42.28
0.00999,0.6,2981,411,0.695,777,3462,54.26
0.00999,0.6,2834,411,0.695,764,3456,54.26
0.00999,0.6,2952,411,0.69,774,3445,54.37
0.00999,0.6,2834,411,0.688,764,3435,54.26
0.00999,0.6,2658,418,0.679,740,3441,56.13
0.00999,0.6,2540,416,0.684,736,3448,54.39
0.00999,0.6,2589,423,0.665,733,3435,56.24
0.00999,0.6,2462,428,0.658,721,3444,56.15
0.00999,0.6,2050,428,0.667,677,3444,56.26
0.00999,0.6,2687,424,0.667,764,3491,51.03
0.00999,0.6,2560,411,0.7,751,3481,51.26
0.00999,0.6,2540,415,0.692,744,3478,52.47
0.00999,0.6,2148,423,0.674,694,3444,54.79
0.00999,0.6,1883,428,0.671,665,3456,54.48
0.00999,0.6,1608,443,0.643,627,3445,55.22
0.00999,0.6,1422,458,0.617,601,3445,55.19
0.00999,0.6,1353,458,0.621,583,3435,57.02
0.00999,0.6,1157,476,0.59,551,3417,57.1
0.00999,0.6,1010,490,0.575,518,3417,58.66
0.00999,0.6,883,519,0.539,487,3420,60.02
0.00998,0.6,765,568,0.481,457,3420,60.95
0.00999,0.6,3030,397,0.696,812,3403,46.89
0.00999,0.6,2756,405,0.678,780,3390,48.73
0.00999,0.6,2589,399,0.702,756,3389,50.73
0.00999,0.6,2462,402,0.696,732,3369,53.51
